Name,CarLink,Time,PS,Weight_KG
Jaguar XE SV Project 8,https://fastestlaps.com/models/jaguar-xe-sv-project-8,96.96,600,1801
Nissan GT-R (R35 570PS),https://fastestlaps.com/models/nissan-gt-r-r35-565ps,97.08,570,1775
Porsche Cayman GT4 (981),https://fastestlaps.com/models/porsche-cayman-gt4,97.43,385,1360
BMW M4 GTS,https://fastestlaps.com/models/bmw-m4-gts,97.66,500,1600
Camaro SS 1LE Package,https://fastestlaps.com/models/chevrolet-camaro-ss-1le,97.78,461,1703
Porsche 911 Turbo,https://fastestlaps.com/models/porsche-911-turbo-997-facelift,97.8,500,1601
Chevrolet Camaro Z/28,https://fastestlaps.com/models/chevrolet-camaro-z-28-2013,97.82,507,1702
Chevrolet Corvette Stingray,https://fastestlaps.com/models/chevrolet-corvette-c8-stingray,97.83,502,1646
Ferrari F12 Berlinetta,https://fastestlaps.com/models/ferrari-f12-berlinetta,98.04,740,1771
Aston Martin DBS Superleggera ,https://fastestlaps.com/models/aston-martin-dbs-superleggera,98.27,725,1849
Chevrolet Corvette Stingray,https://fastestlaps.com/models/chevrolet-corvette-stingray-c7,98.28,461,1566
Aston Martin Vantage  (Mk II),https://fastestlaps.com/models/aston-martin-vantage,98.42,510,1713
Ford Mustang GT PP2,https://fastestlaps.com/models/ford-mustang-gt-pp2,98.42,466,1735
Cadillac CTS-V (Mk III),https://fastestlaps.com/models/cadillac-cts-v-mk-iii,98.52,649,1879
Audi R8 V10 5.2 FSI Plus,https://fastestlaps.com/models/audi-r8-v10-5-2-fsi-plus,98.7,550,1651
Ford Mustang Shelby GT500,https://fastestlaps.com/models/ford-mustang-shelby-gt500-2013,98.7,659,1750
Chevrolet Corvette ZR1,https://fastestlaps.com/models/chevrolet-corvette-zr1,98.7,647,1526
Jaguar F-Type SVR,https://fastestlaps.com/models/jaguar-f-type-svr,98.75,575,1814
Mercedes-Benz SLS AMG,https://fastestlaps.com/models/mercedes-benz-sls-amg,98.82,571,1674
C 63 AMG Coupe Black Series,https://fastestlaps.com/models/mercedes-benz-c-63-amg-coupe-black-series,98.9,517,1748
Porsche 911 Carrera 4S (991),https://fastestlaps.com/models/porsche-911-carrera-4s-991,99.0,400,1514
Chevrolet Camaro ZL1,https://fastestlaps.com/models/chevrolet-camaro-zl1-2012,99.18,588,1838
Porsche 911 Carrera S (991),https://fastestlaps.com/models/porsche-911-carrera-s-991,99.3,400,1459
BMW M850i (G15),https://fastestlaps.com/models/bmw-m850i,99.4,530,1980
Porsche 911 Carrera GTS,https://fastestlaps.com/models/porsche-911-carrera-gts-991-facelift,99.5,450,1514
Ford Mustang Boss 302 LS,https://fastestlaps.com/models/ford-mustang-boss-302-ls,99.5,443,1652
Porsche 911 GT3 (997),https://fastestlaps.com/models/porsche-911-gt3,99.52,415,1435
Cadillac ATS-V Coupe,https://fastestlaps.com/models/cadillac-ats-v-coupe,99.65,470,1703
Alfa Romeo Giulia QV,https://fastestlaps.com/models/alfa-romeo-giulia-qv,99.68,510,1709
BMW M4,https://fastestlaps.com/models/bmw-m4,99.69,431,1605
Tesla Model 3 Performance,https://fastestlaps.com/models/tesla-model-3-performance-p3d,99.8,456,1853
BMW M5 (F90),https://fastestlaps.com/models/bmw-m5-g30,99.81,600,1919
Tesla Model 3 Performance,https://fastestlaps.com/models/tesla-model-3-performance,99.83,487,1846
Porsche 911 Turbo (997),https://fastestlaps.com/models/porsche-911-turbo,99.89,480,1618
Audi TT RS Coupe (Mk III),https://fastestlaps.com/models/audi-tt-rs-coupe-2016,99.95,400,1482
Aston Martin DB11,https://fastestlaps.com/models/aston-martin-db11-n-a,100.05,608,1902
Porsche 911 Turbo S,https://fastestlaps.com/models/porsche-911-turbo-s-997,100.11,530,1591
Audi R8 V10 5.2 FSI (Mk I),https://fastestlaps.com/models/audi-r8-v10-5-2-fsi,100.2,525,1671
Porsche Cayenne Coupé Turbo,https://fastestlaps.com/models/porsche-cayenne-coup-turbo,100.27,550,2258
Nissan GT-R (R35),https://fastestlaps.com/models/nissan-gt-r,100.45,480,1765
Mercedes-Benz C 63 AMG S,https://fastestlaps.com/models/mercedes-benz-c-63-amg-s,100.5,510,1749
BMW M6 (F13),https://fastestlaps.com/models/bmw-m6-f13,100.52,560,1899
Toyota Supra (Mk V 340 PS),https://fastestlaps.com/models/toyota-supra-a90,100.57,340,1522
Aston Martin Vanquish,https://fastestlaps.com/models/aston-martin-vanquish,100.71,576,1767
Aston Martin AM 310 Vanquish,https://fastestlaps.com/models/aston-martin-am-310-vanquish,100.71,573,1739
Audi R8 4.2 FSI Quattro (Mk I),https://fastestlaps.com/models/audi-r8-4-2-fsi-quattro,100.75,420,1604
Jaguar F-Type V8 S,https://fastestlaps.com/models/jaguar-f-type-v8-s,100.81,495,1768
BMW M2 Competition (F87),https://fastestlaps.com/models/bmw-m2-competition,100.83,410,1615
Lamborghini Urus,https://fastestlaps.com/models/lamborghini-urus,100.9,650,2263
Chevrolet Corvette Z06 (C6),https://fastestlaps.com/models/chevrolet-corvette-z06,100.9,512,1446
Ford Mustang Boss 302,https://fastestlaps.com/models/ford-mustang-boss-302,101.06,450,1650
Bentley Continental GT V8,https://fastestlaps.com/models/bentley-continental-gt-v8-n-a,101.21,550,2210
Porsche Cayman S (981),https://fastestlaps.com/models/porsche-cayman-s-981,101.26,325,1398
Porsche Cayman S (981),https://fastestlaps.com/models/porsche-cayman-s-981,101.26,325,1398
Porsche Cayman R (987),https://fastestlaps.com/models/porsche-cayman-r,101.64,330,1363
Aston Martin V12 Vantage S,https://fastestlaps.com/models/aston-martin-v12-vantage-s,101.77,573,1682
Jaguar F-Type R Coupe,https://fastestlaps.com/models/jaguar-f-type-r-coupe,102.0,550,1665
E 63 AMG S T-Modell,https://fastestlaps.com/models/mercedes-benz-e-63-amg-s-t-modell,102.39,585,2092
Lotus Evora S,https://fastestlaps.com/models/lotus-evora-s,102.49,351,1439
Challenger SRT Hellcat Redeye,https://fastestlaps.com/models/dodge-challenger-srt-hellcat-redeye,102.7,808,2049
Jaguar XKR-S (550 PS),https://fastestlaps.com/models/jaguar-xkr-s,102.9,551,1843
BMW M3 (E92),https://fastestlaps.com/models/bmw-m3-e92,102.96,420,1628
Audi RS5 (8T3 facelift),https://fastestlaps.com/models/audi-rs5-2012,102.97,450,1770
Ford Mustang Boss 302 LS,https://fastestlaps.com/models/ford-mustang-boss-302-ls,103.0,443,1652
Porsche Cayman S,https://fastestlaps.com/models/porsche-cayman-s-987-facelift,103.0,320,1420
Aston Martin V12 Vantage,https://fastestlaps.com/models/aston-martin-v12-vantage,103.04,517,1702
Lexus RC F,https://fastestlaps.com/models/lexus-rc-f,103.2,477,1821
BMW 1 Series M Coupe,https://fastestlaps.com/models/bmw-1-series-m-coupe,103.31,340,1514
Lexus LC 500,https://fastestlaps.com/models/lexus-lc500,103.4,477,1974
C 63 AMG Edition 507,https://fastestlaps.com/models/mercedes-benz-c-63-amg-edition-507,103.45,507,1756
C 63 AMG Coupe Edition 507,https://fastestlaps.com/models/mercedes-benz-c-63-amg-coupe-edition-507,103.45,507,1774
Alfa Romeo Stelvio QV,https://fastestlaps.com/models/alfa-romeo-stelvio,103.5,510,1931
Bentley Continental GT-3 R,https://fastestlaps.com/models/bentley-continental-gt-3-r,103.51,580,2195
Bentley Continental GT-3 R,https://fastestlaps.com/models/bentley-continental-gt-3-r,103.51,580,2195
Alfa Romeo 4C,https://fastestlaps.com/models/alfa-romeo-4c,103.78,240,1028
Cadillac CTS-V (Mk II),https://fastestlaps.com/models/cadillac-cts-v,103.9,564,1951
Honda Civic Type R (FK8),https://fastestlaps.com/models/honda-civic-type-r-fk8,104.22,320,1405
BMW i8,https://fastestlaps.com/models/bmw-i8,104.29,374,1519
Shelby GT500,https://fastestlaps.com/models/shelby-gt500-2010,104.3,547,1772
Shelby Cobra 427 S/C,https://fastestlaps.com/models/shelby-cobra-427-s-c,104.46,492,1139
Shelby Cobra 427 S/C,https://fastestlaps.com/models/shelby-cobra-427-s-c-1966,104.46,431,1110
Shelby GT500,https://fastestlaps.com/models/shelby-gt500,104.72,507,1787
Shelby Mustang Cobra GT500KR,https://fastestlaps.com/models/shelby-mustang-cobra-gt500kr,104.72,540,1773
Porsche 911 Carrera,https://fastestlaps.com/models/porsche-911-carrera-997-997-facelift,105.0,345,1468
Jaguar XFR (Mk I),https://fastestlaps.com/models/jaguar-xfr,105.37,510,1975
Chevrolet Camaro SS,https://fastestlaps.com/models/chevrolet-camaro-ss-2010,105.7,432,1773
Lotus Exige S,https://fastestlaps.com/models/lotus-exige-s,105.82,222,934
Toyota Supra RZ (Mk IV),https://fastestlaps.com/models/toyota-supra-rz,105.87,284,1640
